combo_id,hand,canonical,card1,card2,rank1,rank2,suit1,suit2,is_suited,is_pair,hand_type,combos_in_class,equity_vs_random_pct,win_rate_pct,tie_rate_pct,equity_vs_top10pct,equity_vs_top25pct,playability_score,tier,gto_open_action
29,ThTc,TT,Th,Tc,T,T,h,c,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
30,TdTc,TT,Td,Tc,T,T,d,c,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
31,9s9h,99,9s,9h,9,9,s,h,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
32,9s9d,99,9s,9d,9,9,s,d,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
33,9s9c,99,9s,9c,9,9,s,c,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
34,9h9d,99,9h,9d,9,9,h,d,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
35,9h9c,99,9h,9c,9,9,h,c,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
36,9d9c,99,9d,9c,9,9,d,c,0,1,pair,6,72.06,71.64,0.85,51.50,58.60,8.4,Tier 2 (Strong),100% Open (All Positions)
37,8s8h,88,8s,8h,8,8,s,h,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
38,8s8d,88,8s,8d,8,8,s,d,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
39,8s8c,88,8s,8c,8,8,s,c,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
40,8h8d,88,8h,8d,8,8,h,d,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
41,8h8c,88,8h,8c,8,8,h,c,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
42,8d8c,88,8d,8c,8,8,d,c,0,1,pair,6,69.13,68.70,0.85,46.90,54.40,8.0,Tier 2 (Strong),Open (MP/CO/BTN)
43,AsKs,AKs,As,Ks,A,K,s,s,1,0,suited,4,67.04,66.44,1.20,63.10,64.90,9.5,Tier 1 (Premium),100% Open (All Positions)
44,AhKh,AKs,Ah,Kh,A,K,h,h,1,0,suited,4,67.04,66.44,1.20,63.10,64.90,9.5,Tier 1 (Premium),100% Open (All Positions)
45,AdKd,AKs,Ad,Kd,A,K,d,d,1,0,suited,4,67.04,66.44,1.20,63.10,64.90,9.5,Tier 1 (Premium),100% Open (All Positions)
46,AcKc,AKs,Ac,Kc,A,K,c,c,1,0,suited,4,67.04,66.44,1.20,63.10,64.90,9.5,Tier 1 (Premium),100% Open (All Positions)
47,7s7h,77,7s,7h,7,7,s,h,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
48,7s7d,77,7s,7d,7,7,s,d,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
49,7s7c,77,7s,7c,7,7,s,c,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
50,7h7d,77,7h,7d,7,7,h,d,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
51,7h7c,77,7h,7c,7,7,h,c,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
52,7d7c,77,7d,7c,7,7,d,c,0,1,pair,6,66.24,65.81,0.85,43.10,50.80,7.6,Tier 3 (Playable),Open (MP/CO/BTN)
53,AsQs,AQs,As,Qs,A,Q,s,s,1,0,suited,4,66.11,65.51,1.20,58.70,61.80,9.3,Tier 1 (Premium),100% Open (All Positions)
54,AhQh,AQs,Ah,Qh,A,Q,h,h,1,0,suited,4,66.11,65.51,1.20,58.70,61.80,9.3,Tier 1 (Premium),100% Open (All Positions)
55,AdQd,AQs,Ad,Qd,A,Q,d,d,1,0,suited,4,66.11,65.51,1.20,58.70,61.80,9.3,Tier 1 (Premium),100% Open (All Positions)
56,AcQc,AQs,Ac,Qc,A,Q,c,c,1,0,suited,4,66.11,65.51,1.20,58.70,61.80,9.3,Tier 1 (Premium),100% Open (All Positions)
57,AsJs,AJs,As,Js,A,J,s,s,1,0,suited,4,65.41,64.81,1.20,54.90,58.80,9.0,Tier 2 (Strong),100% Open (All Positions)
58,AhJh,AJs,Ah,Jh,A,J,h,h,1,0,suited,4,65.41,64.81,1.20,54.90,58.80,9.0,Tier 2 (Strong),100% Open (All Positions)
59,AdJd,AJs,Ad,Jd,A,J,d,d,1,0,suited,4,65.41,64.81,1.20,54.90,58.80,9.0,Tier 2 (Strong),100% Open (All Positions)
60,AcJc,AJs,Ac,Jc,A,J,c,c,1,0,suited,4,65.41,64.81,1.20,54.90,58.80,9.0,Tier 2 (Strong),100% Open (All Positions)
61,AhKs,AKo,Ah,Ks,A,K,h,s,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
62,AdKs,AKo,Ad,Ks,A,K,d,s,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
63,AcKs,AKo,Ac,Ks,A,K,c,s,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
64,AsKh,AKo,As,Kh,A,K,s,h,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
65,AdKh,AKo,Ad,Kh,A,K,d,h,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
66,AcKh,AKo,Ac,Kh,A,K,c,h,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
67,AsKd,AKo,As,Kd,A,K,s,d,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
68,AhKd,AKo,Ah,Kd,A,K,h,d,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
69,AcKd,AKo,Ac,Kd,A,K,c,d,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
70,AsKc,AKo,As,Kc,A,K,s,c,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
71,AhKc,AKo,Ah,Kc,A,K,h,c,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
72,AdKc,AKo,Ad,Kc,A,K,d,c,0,0,offsuit,12,65.31,64.59,1.45,60.80,62.40,8.8,Tier 1 (Premium),100% Open (All Positions)
73,AsTs,ATs,As,Ts,A,T,s,s,1,0,suited,4,64.63,64.03,1.20,51.60,56.10,8.7,Tier 2 (Strong),100% Open (All Positions)
74,AhTh,ATs,Ah,Th,A,T,h,h,1,0,suited,4,64.63,64.03,1.20,51.60,56.10,8.7,Tier 2 (Strong),100% Open (All Positions)
75,AdTd,ATs,Ad,Td,A,T,d,d,1,0,suited,4,64.63,64.03,1.20,51.60,56.10,8.7,Tier 2 (Strong),100% Open (All Positions)
76,AcTc,ATs,Ac,Tc,A,T,c,c,1,0,suited,4,64.63,64.03,1.20,51.60,56.10,8.7,Tier 2 (Strong),100% Open (All Positions)
77,AhQs,AQo,Ah,Qs,A,Q,h,s,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
78,AdQs,AQo,Ad,Qs,A,Q,d,s,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
79,AcQs,AQo,Ac,Qs,A,Q,c,s,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
80,AsQh,AQo,As,Qh,A,Q,s,h,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
81,AdQh,AQo,Ad,Qh,A,Q,d,h,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
82,AcQh,AQo,Ac,Qh,A,Q,c,h,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
83,AsQd,AQo,As,Qd,A,Q,s,d,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
84,AhQd,AQo,Ah,Qd,A,Q,h,d,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
85,AcQd,AQo,Ac,Qd,A,Q,c,d,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
86,AsQc,AQo,As,Qc,A,Q,s,c,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
87,AhQc,AQo,Ah,Qc,A,Q,h,c,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
88,AdQc,AQo,Ad,Qc,A,Q,d,c,0,0,offsuit,12,64.36,63.63,1.45,56.10,59.20,8.4,Tier 2 (Strong),100% Open (All Positions)
89,AhJs,AJo,Ah,Js,A,J,h,s,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
90,AdJs,AJo,Ad,Js,A,J,d,s,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
91,AcJs,AJo,Ac,Js,A,J,c,s,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
92,AsJh,AJo,As,Jh,A,J,s,h,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
93,AdJh,AJo,Ad,Jh,A,J,d,h,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
94,AcJh,AJo,Ac,Jh,A,J,c,h,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
95,AsJd,AJo,As,Jd,A,J,s,d,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
96,AhJd,AJo,Ah,Jd,A,J,h,d,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
97,AcJd,AJo,Ac,Jd,A,J,c,d,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
98,AsJc,AJo,As,Jc,A,J,s,c,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
99,AhJc,AJo,Ah,Jc,A,J,h,c,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
100,AdJc,AJo,Ad,Jc,A,J,d,c,0,0,offsuit,12,63.53,62.80,1.45,52.20,56.00,7.9,Tier 2 (Strong),Open (MP/CO/BTN)
101,KsQs,KQs,Ks,Qs,K,Q,s,s,1,0,suited,4,63.42,62.82,1.20,53.20,57.60,8.9,Tier 2 (Strong),100% Open (All Positions)
102,KhQh,KQs,Kh,Qh,K,Q,h,h,1,0,suited,4,63.42,62.82,1.20,53.20,57.60,8.9,Tier 2 (Strong),100% Open (All Positions)
103,KdQd,KQs,Kd,Qd,K,Q,d,d,1,0,suited,4,63.42,62.82,1.20,53.20,57.60,8.9,Tier 2 (Strong),100% Open (All Positions)
104,KcQc,KQs,Kc,Qc,K,Q,c,c,1,0,suited,4,63.42,62.82,1.20,53.20,57.60,8.9,Tier 2 (Strong),100% Open (All Positions)
105,6s6h,66,6s,6h,6,6,s,h,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
106,6s6d,66,6s,6d,6,6,s,d,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
107,6s6c,66,6s,6c,6,6,s,c,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
108,6h6d,66,6h,6d,6,6,h,d,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
109,6h6c,66,6h,6c,6,6,h,c,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
110,6d6c,66,6d,6c,6,6,d,c,0,1,pair,6,63.28,62.86,0.85,39.80,47.40,7.2,Tier 3 (Playable),Open (CO/BTN only)
111,As9s,A9s,As,9s,A,9,s,s,1,0,suited,4,62.96,62.36,1.20,46.80,52.30,8.1,Tier 2 (Strong),Open (MP/CO/BTN)
112,Ah9h,A9s,Ah,9h,A,9,h,h,1,0,suited,4,62.96,62.36,1.20,46.80,52.30,8.1,Tier 2 (Strong),Open (MP/CO/BTN)
113,Ad9d,A9s,Ad,9d,A,9,d,d,1,0,suited,4,62.96,62.36,1.20,46.80,52.30,8.1,Tier 2 (Strong),Open (MP/CO/BTN)
114,Ac9c,A9s,Ac,9c,A,9,c,c,1,0,suited,4,62.96,62.36,1.20,46.80,52.30,8.1,Tier 2 (Strong),Open (MP/CO/BTN)
115,AhTs,ATo,Ah,Ts,A,T,h,s,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
116,AdTs,ATo,Ad,Ts,A,T,d,s,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
117,AcTs,ATo,Ac,Ts,A,T,c,s,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
118,AsTh,ATo,As,Th,A,T,s,h,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
119,AdTh,ATo,Ad,Th,A,T,d,h,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
120,AcTh,ATo,Ac,Th,A,T,c,h,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
121,AsTd,ATo,As,Td,A,T,s,d,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
122,AhTd,ATo,Ah,Td,A,T,h,d,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
123,AcTd,ATo,Ac,Td,A,T,c,d,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
124,AsTc,ATo,As,Tc,A,T,s,c,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
125,AhTc,ATo,Ah,Tc,A,T,h,c,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
126,AdTc,ATo,Ad,Tc,A,T,d,c,0,0,offsuit,12,62.68,61.95,1.45,48.70,53.10,7.4,Tier 3 (Playable),Open (CO/BTN only)
127,KsJs,KJs,Ks,Js,K,J,s,s,1,0,suited,4,62.59,61.99,1.20,49.60,54.80,8.5,Tier 2 (Strong),Open (MP/CO/BTN)
128,KhJh,KJs,Kh,Jh,K,J,h,h,1,0,suited,4,62.59,61.99,1.20,49.60,54.80,8.5,Tier 2 (Strong),Open (MP/CO/BTN)
129,KdJd,KJs,Kd,Jd,K,J,d,d,1,0,suited,4,62.59,61.99,1.20,49.60,54.80,8.5,Tier 2 (Strong),Open (MP/CO/BTN)
130,KcJc,KJs,Kc,Jc,K,J,c,c,1,0,suited,4,62.59,61.99,1.20,49.60,54.80,8.5,Tier 2 (Strong),Open (MP/CO/BTN)
131,As8s,A8s,As,8s,A,8,s,s,1,0,suited,4,62.05,61.45,1.20,44.50,50.40,7.8,Tier 3 (Playable),Open (CO/BTN only)
132,Ah8h,A8s,Ah,8h,A,8,h,h,1,0,suited,4,62.05,61.45,1.20,44.50,50.40,7.8,Tier 3 (Playable),Open (CO/BTN only)
133,Ad8d,A8s,Ad,8d,A,8,d,d,1,0,suited,4,62.05,61.45,1.20,44.50,50.40,7.8,Tier 3 (Playable),Open (CO/BTN only)
134,Ac8c,A8s,Ac,8c,A,8,c,c,1,0,suited,4,62.05,61.45,1.20,44.50,50.40,7.8,Tier 3 (Playable),Open (CO/BTN only)
135,KsTs,KTs,Ks,Ts,K,T,s,s,1,0,suited,4,61.76,61.16,1.20,46.50,52.30,8.2,Tier 2 (Strong),Open (MP/CO/BTN)
136,KhTh,KTs,Kh,Th,K,T,h,h,1,0,suited,4,61.76,61.16,1.20,46.50,52.30,8.2,Tier 2 (Strong),Open (MP/CO/BTN)
137,KdTd,KTs,Kd,Td,K,T,d,d,1,0,suited,4,61.76,61.16,1.20,46.50,52.30,8.2,Tier 2 (Strong),Open (MP/CO/BTN)
138,KcTc,KTs,Kc,Tc,K,T,c,c,1,0,suited,4,61.76,61.16,1.20,46.50,52.30,8.2,Tier 2 (Strong),Open (MP/CO/BTN)
139,KhQs,KQo,Kh,Qs,K,Q,h,s,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
140,KdQs,KQo,Kd,Qs,K,Q,d,s,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
141,KcQs,KQo,Kc,Qs,K,Q,c,s,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
142,KsQh,KQo,Ks,Qh,K,Q,s,h,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
143,KdQh,KQo,Kd,Qh,K,Q,d,h,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
144,KcQh,KQo,Kc,Qh,K,Q,c,h,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
145,KsQd,KQo,Ks,Qd,K,Q,s,d,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
146,KhQd,KQo,Kh,Qd,K,Q,h,d,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
147,KcQd,KQo,Kc,Qd,K,Q,c,d,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
148,KsQc,KQo,Ks,Qc,K,Q,s,c,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
149,KhQc,KQo,Kh,Qc,K,Q,h,c,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
150,KdQc,KQo,Kd,Qc,K,Q,d,c,0,0,offsuit,12,61.42,60.70,1.45,50.10,54.80,7.7,Tier 2 (Strong),Open (MP/CO/BTN)
151,As7s,A7s,As,7s,A,7,s,s,1,0,suited,4,61.12,60.52,1.20,42.40,48.60,7.5,Tier 3 (Playable),Open (CO/BTN only)
152,Ah7h,A7s,Ah,7h,A,7,h,h,1,0,suited,4,61.12,60.52,1.20,42.40,48.60,7.5,Tier 3 (Playable),Open (CO/BTN only)
153,Ad7d,A7s,Ad,7d,A,7,d,d,1,0,suited,4,61.12,60.52,1.20,42.40,48.60,7.5,Tier 3 (Playable),Open (CO/BTN only)
154,Ac7c,A7s,Ac,7c,A,7,c,c,1,0,suited,4,61.12,60.52,1.20,42.40,48.60,7.5,Tier 3 (Playable),Open (CO/BTN only)
155,Ah9s,A9o,Ah,9s,A,9,h,s,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
156,Ad9s,A9o,Ad,9s,A,9,d,s,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
157,Ac9s,A9o,Ac,9s,A,9,c,s,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
158,As9h,A9o,As,9h,A,9,s,h,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
159,Ad9h,A9o,Ad,9h,A,9,d,h,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
160,Ac9h,A9o,Ac,9h,A,9,c,h,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
161,As9d,A9o,As,9d,A,9,s,d,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
162,Ah9d,A9o,Ah,9d,A,9,h,d,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
163,Ac9d,A9o,Ac,9d,A,9,c,d,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
164,As9c,A9o,As,9c,A,9,s,c,0,0,offsuit,12,60.77,60.05,1.45,43.60,49.00,6.5,Tier 3 (Playable),Steal/Defend (BTN/SB/BB only)
